0,puzzle_name,puzzle_a,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_a,action,LookAtPuzzle,point,0|0
2,Block,16,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,15,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
4,Puzzle,puzzle_a,action,LookAtPuzzle,point,0|170
5,Block,15,Face,5,Pattern,BlackSquare,action,GoToFaceFive
6,Block,15,Face,5,Pattern,BlackSquare,action,RotateLeft
7,Block,15,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
8,Block,15,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
9,Block,15,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
10,Block,14,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
11,Puzzle,puzzle_a,action,LookAtPuzzle,point,0|340
12,Block,13,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
13,Puzzle,puzzle_a,action,LookAtPuzzle,point,0|510
14,Block,13,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
15,Block,12,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
16,Puzzle,puzzle_a,action,LookAtPuzzle,point,170|0
17,Block,12,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
18,Block,12,Face,1,Pattern,BlackBottomLeftCornerSquare,action,RotateLeft
19,Block,12,Face,5,Pattern,BlackSquare,action,GoToFaceFive
20,Block,12,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
21,Block,12,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
22,Block,12,Face,1,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceOne
23,Block,12,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateLeft
24,Block,11,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
25,Puzzle,puzzle_a,action,LookAtPuzzle,point,170|170
26,Block,11,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
27,Block,11,Face,4,Pattern,BlackSquare,action,GoToFaceFour
28,Block,11,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
29,Block,11,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
30,Block,11,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateLeft
31,Block,11,Face,5,Pattern,BlackSquare,action,GoToFaceFive
32,Block,11,Face,5,Pattern,BlackSquare,action,RotateLeft
33,Block,11,Face,5,Pattern,BlackSquare,action,RotateLeft
34,Block,11,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
35,Block,11,Face,2,Pattern,WhiteSquare,action,RotateRight
36,Block,11,Face,6,Pattern,BlackTopRightCornerSquare,action,GoToFaceSix
37,Block,11,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
38,Block,11,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
39,Block,11,Face,1,Pattern,BlackTopRightCornerSquare,action,RotateRight
40,Block,11,Face,4,Pattern,BlackSquare,action,GoToFaceFour
41,Block,11,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
42,Block,11,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
43,Block,11,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
44,Block,11,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
45,Block,11,Face,1,Pattern,BlackBottomLeftCornerSquare,action,RotateRight
46,Block,10,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
47,Puzzle,puzzle_a,action,LookAtPuzzle,point,170|340
48,Block,10,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
49,Block,10,Face,5,Pattern,BlackSquare,action,GoToFaceFive
50,Block,10,Face,4,Pattern,BlackSquare,action,GoToFaceFour
51,Block,10,Face,4,Pattern,BlackSquare,action,RotateLeft
52,Block,10,Face,1,Pattern,BlackTopLeftCornerSquare,action,GoToFaceOne
